"day","airline","Origin Airport","Stop_over Airport","Destination Airport","Origin Departure Delay","Stop-over Arrival Delay","Stop-over Departure Delay","Destination Arrival Delay","a1","transit_arrive","d2","transit_depart"
"7","AS","SFO","SEA","JFK","11","11","6","-45","1851","1131","2136","1296"
"7","B6","SFO","LAS","JFK","33","25","3","19","1924","1164","2158","1318"
"7","AS","SFO","SEA","JFK","-8","-10","6","-45","2004","1204","2136","1296"
"7","AA","SFO","LAX","JFK","-7","-23","-5","-15","1936","1176","2225","1345"
"7","AA","SFO","LAX","JFK","-7","-23","-6","4","1936","1176","2124","1284"
"7","DL","SFO","LAX","JFK","-2","-4","-4","-10","2026","1226","2251","1371"
"7","DL","SFO","LAX","JFK","-2","-4","109","108","2026","1226","2319","1399"
"7","VX","SFO","LAX","JFK","-5","-1","-5","1","2049","1249","2305","1385"
"7","AA","SFO","LAX","JFK","-5","-7","3","6","2054","1254","2333","1413"
"7","AA","SFO","LAX","JFK","-5","-7","-5","-15","2054","1254","2225","1345"
"7","VX","SFO","LAS","JFK","-3","-10","8","13","2110","1270","2218","1338"
"7","DL","SFO","LAX","JFK","-5","-5","-4","-10","2122","1282","2251","1371"
"7","DL","SFO","LAX","JFK","-5","-5","109","108","2122","1282","2319","1399"
"7","VX","SFO","LAX","JFK","-1","-6","-5","1","2204","1324","2305","1385"
"7","B6","SFO","BOS","JFK","26","32","-1","-5","612","372","746","466"
"7","AA","SFO","CLT","JFK","-11","-4","30","41","608","368","800","480"
"7","B6","SFO","FLL","JFK","13","25","0","-15","725","445","915","555"
"7","DL","SFO","ATL","JFK","12","16","0","-17","638","398","810","490"
"8","DL","SFO","MSP","JFK","-6","-20","-3","-7","520","320","707","427"
"8","AA","SFO","CLT","JFK","-9","-21","-3","-16","744","464","912","552"
"8","AA","SFO","ORD","JFK","-6","-1","-4","-6","1116","676","1236","756"
"8","AA","SFO","DFW","JFK","-8","-3","0","15","1042","642","1150","710"
"8","AA","SFO","PHX","JFK","-7","-18","-3","9","840","520","957","597"
"8","DL","SFO","ATL","JFK","0","3","9","-19","1334","814","1449","889"
"8","AA","SFO","MIA","JFK","-1","0","2","-10","1508","908","1657","1017"
"8","VX","SFO","LAX","JFK","3","-4","14","15","816","496","1054","654"
"8","AA","SFO","LAX","JFK","-7","-28","-4","-13","804","484","1036","636"
"8","DL","SFO","ATL","JFK","-3","1","1","11","1518","918","1736","1056"
"8","VX","SFO","LAX","JFK","-4","-10","14","15","910","550","1054","654"
"8","B6","SFO","BOS","JFK","-9","-12","-9","-5","1618","978","1832","1112"
"8","DL","SFO","LAX","JFK","-2","-1","3","12","931","571","1133","693"
"8","DL","SFO","ATL","JFK","-2","-6","1","11","1629","989","1736","1056"
"8","DL","SFO","LAX","JFK","3","-8","3","12","1022","622","1133","693"
"8","AA","SFO","PHX","JFK","-6","-6","10","27","1204","724","1340","820"
"8","AA","SFO","ORD","JFK","3","-1","-4","-20","1608","968","1831","1111"
"8","AA","SFO","LAX","JFK","14","2","-3","-10","1140","700","1412","852"
"8","AA","SFO","LAX","JFK","14","2","22","23","1140","700","1337","817"
"8","AA","SFO","DFW","JFK","0","-17","-4","-15","1543","943","1656","1016"
"8","DL","SFO","LAX","JFK","-3","-8","-1","4","1217","737","1404","844"
"8","AA","SFO","ORD","JFK","-7","-20","-4","-20","1719","1039","1831","1111"
"8","AA","SFO","CLT","JFK","-10","-6","0","1","1906","1146","2010","1210"
"8","VX","SFO","LAX","JFK","-7","-10","-4","5","1235","755","1336","816"
"8","DL","SFO","LAX","JFK","-6","-7","-4","12","1313","793","1556","956"
"8","DL","SFO","ATL","JFK","-1","-6","19","1","1941","1181","2104","1264"
"8","AA","SFO","PHX","JFK","-1","-7","-6","-6","1501","901","1634","994"
"8","VX","SFO","LAX","JFK","-8","-20","-3","20","1355","835","1547","947"
"8","AA","SFO","LAX","JFK","34","36","73","60","1635","995","1758","1078"
"8","B6","SFO","LAS","JFK","44","45","0","27","1944","1184","2155","1315"
"8","AS","SFO","SEA","JFK","30","38","27","-6","2052","1252","2157","1317"
"8","AA","SFO","LAX","JFK","-3","-5","-9","-20","1954","1194","2221","1341"
"8","AA","SFO","LAX","JFK","-3","-5","-2","9","1954","1194","2128","1288"
"8","VX","SFO","LAX","JFK","0","13","-1","0","2018","1218","2309","1389"
"8","DL","SFO","LAX","JFK","-3","0","-3","-2","2030","1230","2252","1372"
"8","VX","SFO","LAX","JFK","-5","-9","-1","0","2041","1241","2309","1389"
"8","AA","SFO","LAX","JFK","-5","-13","-6","-2","2048","1248","2324","1404"
"8","AA","SFO","LAX","JFK","-5","-13","-9","-20","2048","1248","2221","1341"
"8","DL","SFO","LAX","JFK","-3","0","-3","-2","2127","1287","2252","1372"
"8","AA","SFO","LAX","JFK","-8","-16","-6","-2","2145","1305","2324","1404"
"8","B6","SFO","BOS","JFK","-6","-17","-2","-12","523","323","745","465"
"8","B6","SFO","BOS","JFK","-6","-17","-3","0","523","323","644","404"
"8","AA","SFO","CLT","JFK","-5","-9","-4","-16","603","363","726","446"
"8","B6","SFO","FLL","JFK","16","21","-5","-19","721","441","910","550"
"8","DL","SFO","ATL","JFK","-3","15","1","-10","637","397","811","491"
"9","AA","SFO","ORD","JFK","-7","-25","-5","-14","1052","652","1235","755"
"9","AA","SFO","DFW","JFK","-7","-17","4","-4","1028","628","1154","714"
"9","AA","SFO","PHX","JFK","-4","-9","-4","-3","849","529","956","596"
"9","DL","SFO","ATL","JFK","-3","-13","0","-16","1318","798","1440","880"
"9","AA","SFO","MIA","JFK","-6","-12","14","-12","1456","896","1709","1029"
"9","VX","SFO","LAX","JFK","6","-1","-1","-20","819","499","1039","639"
"9","AA","SFO","LAX","JFK","44","59","-7","-25","931","571","1208","728"
"9","AA","SFO","LAX","JFK","44","59","34","23","931","571","1114","674"
"9","B6","SFO","LAS","JFK","-5","-25","-3","-12","845","525","1142","702"
"9","DL","SFO","ATL","JFK","0","-13","1","-18","1504","904","1736","1056"
"9","VX","SFO","LAX","JFK","-5","0","-1","-20","920","560","1039","639"
"9","B6","SFO","BOS","JFK","7","-3","-1","4","1627","987","1810","1090"
"9","DL","SFO","LAX","JFK","0","0","40","32","935","575","1210","730"
"9","DL","SFO","ATL","JFK","-3","-14","1","-18","1621","981","1736","1056"
"9","DL","SFO","LAX","JFK","11","7","40","32","1037","637","1210","730"
"9","AA","SFO","PHX","JFK","-12","-19","-1","6","1151","711","1329","809"
"9","AA","SFO","ORD","JFK","-6","-36","-2","-13","1533","933","1833","1113"
"9","AA","SFO","LAX","JFK","-1","10","-8","-18","1148","708","1407","847"
"9","AA","SFO","LAX","JFK","-1","10","-2","-10","1148","708","1313","793"
"9","B6","SFO","FLL","JFK","-3","-12","-3","-20","1828","1108","1947","1187"
"9","AA","SFO","DFW","JFK","-2","-15","-4","-12","1545","945","1656","1016"
"9","DL","SFO","LAX","JFK","23","27","-9","-8","1252","772","1356","836"
"9","AA","SFO","ORD","JFK","-2","-30","-2","-13","1709","1029","1833","1113"
"9","AA","SFO","CLT","JFK","2","-3","-6","-9","1909","1149","2208","1328"
"9","DL","SFO","LAX","JFK","8","8","-1","4","1328","808","1559","959"
"9","DL","SFO","ATL","JFK","9","-12","0","-12","1931","1171","2045","1245"
"9","AA","SFO","PHX","JFK","-7","-14","10","13","1454","894","1650","1010"
"9","VX","SFO","LAX","JFK","-7","-10","-8","-6","1405","845","1542","942"
"9","AA","SFO","CLT","JFK","-8","-6","-6","-9","2104","1264","2208","1328"
"9","AA","SFO","PHX","JFK","-7","-13","2","-1","1950","1190","2232","1352"
"9","AS","SFO","SEA","JFK","16","9","5","-26","2024","1224","2135","1295"
"9","AA","SFO","LAX","JFK","30","24","-3","-22","2023","1223","2227","1347"
"9","AA","SFO","LAX","JFK","30","24","-5","4","2023","1223","2125","1285"
"9","VX","SFO","LAX","JFK","6","7","1","-8","2012","1212","2311","1391"
"9","DL","SFO","LAX","JFK","25","18","27","16","2048","1248","2322","1402"
"9","VX","SFO","LAX","JFK","-7","-12","1","-8","2038","1238","2311","1391"
"9","AA","SFO","LAX","JFK","14","17","18","29","2218","1338","2348","1428"
"9","B6","SFO","BOS","JFK","34","30","8","0","610","370","755","475"
"9","AA","SFO","CLT","JFK","0","-24","-7","-21","548","348","723","443"
"9","B6","SFO","FLL","JFK","-2","0","-1","-2","700","420","914","554"
"9","DL","SFO","ATL","JFK","20","9","-1","-22","631","391","809","489"
"10","DL","SFO","MSP","JFK","-4","-27","-3","-28","513","313","707","427"
"10","AA","SFO","CLT","JFK","-8","-36","8","6","729","449","923","563"
"10","AA","SFO","MIA","JFK","539","534","0","-7","1744","1064","2014","1214"
"10","AA","SFO","ORD","JFK","-4","-30","0","-10","1047","647","1240","760"
"10","AA","SFO","DFW","JFK","-7","-25","0","-12","1020","620","1150","710"
"10","AA","SFO","PHX","JFK","-5","-23","-3","-17","835","515","957","597"
"10","DL","SFO","ATL","JFK","-2","-14","12","-6","1317","797","1452","892"
"10","AA","SFO","MIA","JFK","0","6","-5","1","1514","914","1650","1010"
"10","VX","SFO","LAX","JFK","-5","-8","1","-7","812","492","1041","641"
"10","DL","SFO","ATL","JFK","-1","-17","17","20","1500","900","1752","1072"
"10","VX","SFO","LAX","JFK","-7","16","1","-7","936","576","1041","641"
"10","B6","SFO","BOS","JFK","-6","-26","1","-17","1604","964","1842","1122"
"10","DL","SFO","LAX","JFK","2","39","6","-13","1011","611","1136","696"
"10","DL","SFO","ATL","JFK","5","-13","17","20","1622","982","1752","1072"
"10","DL","SFO","LAX","JFK","131","178","5","-24","1328","808","1605","965"
"10","AA","SFO","PHX","JFK","-7","-2","-2","8","1208","728","1328","808"
"10","AA","SFO","ORD","JFK","-3","-38","-7","-14","1531","931","1828","1108"
"10","AA","SFO","LAX","JFK","-4","13","-7","-22","1151","711","1408","848"
"10","AA","SFO","LAX","JFK","-4","13","3","-7","1151","711","1318","798"
"10","B6","SFO","FLL","JFK","55","67","5","-5","1947","1187","2110","1270"
"10","AA","SFO","DFW","JFK","-5","-3","-3","1","1557","957","1657","1017"
"10","AA","SFO","ORD","JFK","-1","-44","-7","-14","1655","1015","1828","1108"
"10","AA","SFO","CLT","JFK","0","4","-2","-5","1916","1156","2212","1332"
"10","VX","SFO","LAX","JFK","3","5","-1","-15","1250","770","1549","949"
"10","DL","SFO","LAX","JFK","39","44","5","-24","1404","844","1605","965"
"10","DL","SFO","ATL","JFK","19","-8","-4","-19","1935","1175","2041","1241"
"10","AA","SFO","PHX","JFK","-4","12","-5","-29","1520","920","1635","995"
"10","VX","SFO","LAX","JFK","-3","-4","-1","-15","1411","851","1549","949"
"10","AA","SFO","CLT","JFK","19","-7","-2","-5","2103","1263","2212","1332"
"10","AS","SFO","SEA","JFK","-9","-4","-2","-20","1836","1116","2128","1288"
"10","B6","SFO","LAS","JFK","45","41","-2","-27","1940","1180","2153","1313"
"10","AA","SFO","LAX","JFK","25","22","40","35","2021","1221","2310","1390"
"10","AA","SFO","LAX","JFK","25","22","4","-15","2021","1221","2134","1294"
"10","VX","SFO","LAS","JFK","-3","0","6","-8","2010","1210","2216","1336"
"10","VX","SFO","LAX","JFK","-5","0","1","-30","2050","1250","2311","1391"
"10","AA","SFO","LAX","JFK","2","-1","-7","22","2100","1260","2323","1403"
"10","AA","SFO","LAX","JFK","2","-1","40","35","2100","1260","2310","1390"
"10","DL","SFO","LAX","JFK","2","9","1","-16","2136","1296","2256","1376"
"10","AA","SFO","LAX","JFK","-3","8","-7","22","2209","1329","2323","1403"
"10","AA","SFO","LAX","JFK","-3","8","40","35","2209","1329","2310","1390"
"10","B6","SFO","BOS","JFK","29","20","-3","-2","600","360","744","464"
"10","AA","SFO","CLT","JFK","0","-19","-4","-13","553","353","726","446"
"10","DL","SFO","ATL","JFK","74","56","-2","3","718","438","953","593"
"11","DL","SFO","MSP","JFK","7","0","-3","-15","540","340","707","427"
"11","AA","SFO","CLT","JFK","13","-19","1","-2","746","466","916","556"
"11","AA","SFO","ORD","JFK","0","-28","-2","-14","1049","649","1238","758"
"11","AA","SFO","DFW","JFK","-3","-7","4","3","1038","638","1154","714"
"11","DL","SFO","ATL","JFK","-1","-20","2","-1","1311","791","1442","882"
"11","AA","SFO","PHX","JFK","-3","-8","1","15","850","530","1001","601"
"11","DL","SFO","MSP","JFK","178","154","-9","-37","1447","887","1730","1050"
"11","AA","SFO","MIA","JFK","0","-16","-6","15","1452","892","1649","1009"
"11","VX","SFO","LAX","JFK","0","-6","-4","-53","814","494","1036","636"
"11","DL","SFO","ATL","JFK","5","-12","0","-2","1505","905","1735","1055"
"11","VX","SFO","LAX","JFK","-5","-12","-4","-53","908","548","1036","636"
"11","B6","SFO","BOS","JFK","-9","-44","-1","-8","1546","946","1840","1120"
"11","DL","SFO","LAX","JFK","221","229","-4","-36","1321","801","1556","956"
"11","DL","SFO","ATL","JFK","2","-27","0","-2","1608","968","1735","1055"
"11","DL","SFO","LAX","JFK","17","15","39","6","1045","645","1209","729"
"11","AA","SFO","PHX","JFK","99","95","-2","-19","1345","825","1638","998"
"11","AA","SFO","ORD","JFK","0","-18","11","-14","1551","951","1846","1126"
